Unternehmen,Ticker,Gewichtung_pct
Factset Research Systems Inc.,FDS,0.013355
Wynn Resorts Ltd.,WYNN,0.013323
Henry Schein Inc.,HSIC,0.013013
Trade Desk Inc./The Class A,TTD,0.012410
Universal Health Services B,UHS,0.012286
Hormel Foods Corp.,HRL,0.012233
Mosaic Co.,MOS,0.011336
Davita Inc.,DVA,0.011031
Smith (A.O.) Corp.,AOS,0.010930
Conagra Brands Inc.,CAG,0.010655
Molson Coors Beverage Co. B,TAP,0.010529
Fox Corp. Class B,FOX,0.010162
Erie Indemnity Company Cl A,ERIE,0.009590
Brown Forman Corp. Class B,BF-B,0.007449
News Corp. Class B,NWS,0.005544
Paramount Skydance Cl B,PSKY,0.004793
